MACR-Nr,Air Force,Flgzg.Typ,Flgzg. Kennnr.,Flugzeugname,Bomber Group,Squadron,Crew,Datum,Absturzursache,Uhrzeit Absturz,Angriffsziel,Letzte Sichtung-Koord,Letzte Sichtung-Ort,Absturzort,Absturzort Anmerkungen im Detail,Absturz Land,Bundesland,Vermisstenfall,Aussage Absturz/Schicksal,,,Bei Absturz ums Leben gekommen,An Verwundung gestorben,Ermordet,Für tot erklärt,Vermisst,Überlebt,Später gestorben (anderer Ort),Unbekannt,Verbrechensopfer def,Verbrechensopfer mglw,Personen nicht in Statistik,Stationen Gefangenschaft,Erst-Station,Ankunft,Abtransport,Luftwaffenbasis,Kennung,Anzahl POW,Region,,ME-Report,KSU-Report,AV-Report,WC-Cases,WC-Cases tried,WC-Cases not tried,Andere,Eigennummer War Crime Case,Beschreibung Fall,Quellen,Literatur,Bild 1,Bildtext 1,Bild 2,Bildtext 2,Bild 3,Bildtext 3,Bild 4,Bildtext 4,Bild 5,Bildtext 5,Bild 6,Bildtext 6,,Zeitzeugenkontakt,Zeitzeuge
1063,12th USAAF,,,,376,513,Zimmerman,01.10.1943,kein Absturz,,Wr. Neustadt,"47°52' N, 16°22'",Ebenfurth,Wr. Neustadt (kein Absturz),Kamen bei Wr. Neustadt zu Boden,Österreich-kein Absturz,kein Absturz-Österreich,,"Kein Absturz! Bomber schien nach dem Angriff eines deutschen Jägers abzustürzen, daher sprangen fünf Besatzungsmitglieder aus dem Bomber ab. Bomber konnte aber zur Basis zurückgeflogen werden.",,,,,,0,,5,,,,,,"Lazarett Wien (Stout)_x000D_
Krems-Gneixendorf_x000D_
Dulag Luft Frankfurt_x000D_
Stalag Luft III Sagan",,01.10.1943,,Krems-Gneixendorf,,4,1.5. westliches Niederösterreich,,,,,,,,,,,,,,"T/Sgt Stout, einer jener Besatzungsmitglieder, die aus dem Bomber absprangen. Das Bild entstand am Flugplatz in Afrika._x000D_
_x000D_
Quelle: NARA, RG 342, 342-FH-3A46999-25389AC ,_x000D_
Georg: Bilder/MACR",,,,,,,,,,,,,
1092,12th USAAF,B-17F,42-3391,,301,32,Veazey,02.11.1943,Jäger,,Wr. Neustadt,,Wr. Neustadt,Mönichkirchen,Mönichkirchen-Schäffern,Österreich,Steiermark,,Die Maschine wurde von mehreren Jägern attackiert und dabei das 3. Triebwerk in Brand geschossen. Die Maschine sackte aus der Formation ab und wurde nun von den Jägern neuerlich attackiert. Das Flugzeug ging sofort in den Sturzflug über. Ein  Teil der Besatzung konnte sich retten.,,,4,,,,,5,,,,,,"Wr. Neustadt_x000D_
Dulag Luft_x000D_
_x000D_
ME 489",,02.11.1943,,Wr. Neustadt,1/XVII,5,1.1. südliches Niederösterreich,,ME 489 (fehlt),,,,,,,,,GA Mönichkirchen (lt. Tropper).,,,,,,,,,,,,,,,,
1093,12th USAAF,B-17F,42-30111,,301,32,Gibson,02.11.1943,Jäger,,Wr. Neustadt,,Wr. Neustadt,Gleisdorf,Prebuch bei Gleisdorf,Österreich,Steiermark,,"Die Maschine wurde von Jägern attackiert, die das Heck in Trümmer schossen. Die Maschine flog noch weiter bevor weitere Jägerangriffe sie endgültig zum Absturz brachten. Es gab keine Überlebenden.",,,10,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,"S. Rosenberger, Geschichte der Stadt Gleisdorf (lt. Tropper).",,,,,,,,,,,,,,,,
1094,12th USAAF,B-17F,42-30127,,301,32,Pattison,02.11.1943,Jäger,,Oudna (?),,Wr. Neustadt,Wr. Neustadt,Mollram,Österreich,Niederösterreich,,"Die Maschine wurde von deutschen Jägern so schwer getroffen, dass das vierte Triebwerk zu brennen begann. Das Flugzeug fiel zwar hinter die Formation zurück, konnte jedoch wieder aufholen und seine Bomben werfen. Kurz darauf wurde es wieder von (20 - 30) deutschen Jägern attackiert, die das 1. Triebwerk in Brand schossen. Die Maschine ging sofort in den Sturzflug über, explodierte kurz darauf und riss die ganze Besatzung in den Tod.",,,9,,,,,,,,,,,ME 490,,,,,,0,,,ME 490 (fehlt),,,,,,,,,Department of Army (Tropper),,,,,,,,,,,,,,,,
1095,12th USAAF,B-17F,42-3380,,301,32,Mason,02.11.1943,Jäger,,Wr. Neustadt,,Wr. Neustadt,Seebenstein,Thernberg-Scheiblingkirchen,Österreich,Niederösterreich,,"Auf dem Weg zum Ziel sangen zwei Besatzungsmitglieder den Song ""Pistol Packing Mamma"" über Interphon, als das Flugzeug von Jägern attackiert wurde, die das 3. Triebwerk zum Rauchen brachten. Die Maschine sackte aus der Formation ab und wurde dann von den Jägern zum Absturz gebracht._x000D_
3 Besatzungsmitglieder kamen ums Leben. Die Überlebenden wurden sofort verhaftet und in eine kleine Polizeistation in der Nähe des Absturzortes gebracht. Man zeigte ihnen Dog Tags und einen Ring mit den Initialen T.W.S. darauf.",,,3,,,,,6,,,,,,ME 488,,02.11.1943,,,,6,1.1. südliches Niederösterreich,,ME 488 (fehlt),,,,,,,,,,,,,,,,,,,,,,,,,
1099,15th USAAF,B-24D,42-36262,,376,512,Shick,02.11.1943,Flak und Jäger,,Wiener Neustadt,,Wr. Neustadt,Wiesmath,,Österreich,Niederösterreich,,Die Maschine wurde nach dem Bombenwurf von Flakgeschossen getroffen und von einem deutschen Jäger attackiert. Beim Absturz kamen acht Mann der Besatzung ums Leben.,,,8,,,,,2,,,,,,,,02.11.1943,,,,2,1.1. südliches Niederösterreich,,ME 491 (fehlt),,,,,,,,,,,,,,,,,,,,,,,,,
1100,12th USAAF,B-24J,42-73084,,376,515,Tennant,02.11.1943,Jäger,,Wr. Neustadt,"47°30'N, 16°20'E",Kirchschlag in der Buckligen Welt,Bocksdorf,nahe Fürstenfeld,Österreich,Burgenland,,Nur 4 Personen schafften die Rettung mittels Fallschirm.,,,6,,,,,5,,,1,,,Dulag Luft Frankfurt,,02.11.1943,,,,5,1.1. südliches Niederösterreich,,,,,Cases tried,5-20,5-10; 5-31,,A12,"A12:_x000D_
Die Zeugen wurden medizinisch falsch behandelt. MacNamara sah auch mindestens 4 Fälle von unnötigen Amputationen._x000D_
Anderson wurde das linke Auge entfernt.",,,,,,,,,,,,,,,,,
1112,15th USAAF,B-17F,42-30133,,2,429,Eggers,02.11.1943,Jäger,,Wr. Neu,,Wr. Neustadt,Seebenstein,"Schlatten-Bromberg, Walpersbach",Österreich,Niederösterreich,,Die Maschine wurde von Jägern aus der Formation abgedrängt und abgeschossen. Maschine wurde bei dem Absturz völlig zerstört. Dabei kamen 2 Crewmitglieder ums Leben (siehe IDPF). Diese wurden in Walpersbach bestattet.,,,2,,,,,8,,,,,,"Wr. Neustadt_x000D_
Dulag Luft_x000D_
Stalag Luft 1, Stalag XVIIB (Krems)",,02.11.1943,,Wr. Neustadt,,6,1.1. südliches Niederösterreich,,,,,,,,,,,Department of Army (Tropper),,,,,,,,,,,,,,,,
1138,12th USAAF,B-24D,42-41188,,98,415,Weldon,02.11.1943,Jäger,,Wr. Neustadt,"46°50'N, 16°15'E",Jennersdorf Nähe,Klingenfurth,Fürstenfeld?,Österreich,Niederösterreich,,Flugzeug brannte und explodierte in der Luft. 3 Besatzungsmitglieder starben dabei. Das Flugzeug stürzte nahe des MACR 1139 ab.,,,3,,,,,7,,,,,,Dulag Luft Frankfurt,,02.11.1943,,,,7,1.5. westliches Niederösterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,12th USAAF,B-24D,42-41255,,98,415,Price,02.11.1943,Flak,,Wr. Neustadt,"46°50'N, 16°25'E",Jennersdorf Nähe,Deutsch-Kaltenbrunn,Raum Fürstenfeld,Österreich,Burgenland,,"Flugzeug schwer von der Flak in den Flügel und das Heck getroffen, explodierte in der Luft (Explosion im Bombenschacht). Der einzige Überlebende, der das Flugzeug verlassen konnte kam nahe des MACR 1138 zu Boden und ging mit deren Besatzung in Gefangenschaft.",,,9,,,,,1,,,,,,"Fehring_x000D_
Dulag Luft Frankfurt",Fehring,02.11.1943,,,,1,1.1. südliches Niederösterreich,,,,,,,5-115,,A73,A73: Die sterblichen Überreste der Flieger wurden tagelang nicht beerdigt.,,,,"Das Bild zeigt (vermutlich) die Maschine. Deutlich ist eine Beschädigung am Heck zu sehen. Laut Beschriftung stürzte die Maschine kurz nach dieser Aufnahme ab._x000D_
_x000D_
Quelle: NARA, RG 342, 342-FH-3A05014-25985AC_x000D_
Georg: Bilder / Austria",,"Das Bild zeigt (vermutlich) die Maschine. Deutlich ist eine Beschädigung am Heck zu sehen. Laut Beschriftung stürzte die Maschine kurz nach dieser Aufnahme ab._x000D_
_x000D_
Quelle: NARA, RG 342, 342-FH-3A05047-A25985AC",,,,,,,,,,,
