MACR-Nr,Air Force,Flgzg.Typ,Flgzg. Kennnr.,Flugzeugname,Bomber Group,Squadron,Crew,Datum,Absturzursache,Uhrzeit Absturz,Angriffsziel,Letzte Sichtung-Koord,Letzte Sichtung-Ort,Absturzort,Absturzort Anmerkungen im Detail,Absturz Land,Bundesland,Vermisstenfall,Aussage Absturz/Schicksal
1691,15th USAAF,P-38,42-13044,,1st Fighter,71st Fighter,Rowe,07.01.1944,Jäger,,Wr. Neustadt,,nahe Szombathely,Rechnitz,Rechnitz,Österreich,Burgenland,,"10 P-38 stiegen auf, um Bomber in den Angriffsraum zu begleiten. Bevor sie die Bomber erreichten, wurden sie von 30 bis 40 deutschen Jägern angegriffen. Dabei wurde Rowe's P-38 von einer Me109 angegriffen und in Brand geschossen."
1692,15th USAAF,P-38,42-12887,,1st Fighter,71st Fighter,Owens,07.01.1944,Jäger,,Wr. Neustadt,,nahe Wr. Neustadt,Wr. Neustadt,Wr. Neustadt,Österreich,Niederösterreich,,"10 P-38 stiegen auf, um Bomber in den Angriffsraum zu begleiten. Bevor sie die Bomber erreichten, wurden sie von 30 bis 40 deutschen Jägern angegriffen. Dabei wurde Owen's P-38 von einer Me109 angegriffen und in Brand geschossen. Owens letzter Funkspruch "
2030,15th USAAF,P-38,43-2507,,1st Fighter,94th Fighter,Griffis,07.01.1944,Jäger,,Wr. Neustadt,,nahe Wr. Neustadt,Wr. Neustadt,Wr. Neustadt,Österreich,Niederösterreich,,"Dogfights im Raum Wr. Neustadt, während denen Griffis Flugzeug von einer FW190 angegriffen wurde."
2031,15th USAAF,P-38,42-13403,,1st Fighter,94th Fighter,Deveaney,07.01.1944,Jäger,,Wr. Neustadt,,nahe Wr. Neustadt,Wr. Neustadt,Wr. Neustadt,Österreich,Niederösterreich,,Die Maschine ging in Flammen zu Boden.
205089,Bomber Command,Halifax,DK237,,,No. 428 RCAF,Terry,21.01.1944,Nachtjäger,,Magdeburg,,,Imst,Kreuzkarspitze,Österreich,Tirol,,Wurde von einem Nachtjäger abgeschossen.
2613,15th USAAF,B-24H,42-770,,449,716,Moore,22.02.1944,Jäger,,Regensburg,"47°48'N, 13°04'E",Salzburg,Pöllau,Rabenwald bei Pöllau,Österreich,Steiermark,,"Die Maschine sackte aus der Formation ab und wurde von 5 Jägern attackiert. Nach mehreren Treffen brach ein Feuer im Bombenschacht aus. Die Maschine stürzte ab und explodierte in der Luft.
Im Inneren der Maschine spielten sich während des Absturzes Drame"
2712,15th USAAF,B-24H,42-52146,,449,716,Bird,22.02.1944,Jäger,,Regensburg,,Regensburg,Birkfeld,Kogelhof bei Birkfeld,Österreich,Steiermark,,Die Maschine wurde von den beiden deutschen Jagdfliegern Alfred Stückler und Helmut Beckmann abgeschossen. Die Besatzung wurde von Zivilisten gefangen genommen.
3174,15th USAAF,B-24H,42-7715,,449,719,Woodle,22.02.1944,Unbekannt,,Regensburg,,Annaberg,Semriach,Hochrötsch bei Semriach,Österreich,Steiermark,,Die Maschine war in keinen erkennbaren Schwierigkeiten - ging aber dennoch auf Tiefe. Vermutlich dürfte sie in Luftkämpfen beschädigt worden sein.
2636,15th USAAF,B-24H,42-64462,Stinky the B.T.O.,449,716,Browning,22.02.1944,Jäger,,Regensburg,,Regensburg,Hartberg,Wenigzell,Österreich,Steiermark,,"Die Maschine wurde von Jägern attackiert, die die Flugzeugnase in Brand schossen. Dabei gab es zwei Todesopfer. Der Bombardier versuchte sich am Rücken des Piloten zu Boden zu retten, da sein Fallschirm zerschossen worden war. Als der Fallschirm des Pilot"
2584,15th USAAF,B-24J,42-100255,,376,512,Chase,23.02.1944,Jäger,,Steyr,,Steyr,St. Valentin,St. Valentin,Österreich,Niederösterreich,,"Maschine von Jägern angegriffen und in Brand geschossen, begann sofort zu Trudeln. Fast alle Crewmitglieder verliessen die Maschine, obwohl mindestens 2 bereits tödlich verwundet waren. Das Flugzeug wurde, bereits im Absturz begriffen, von der Flak zur Ex"
